Subject,Content,Source,Category
,"Wie werden die Geräte innerhalb meiner Wohnung angeschlossen? Das Endkunden-Anschlussgerät (CPE)  bildet die Schnittstelle zwischen der Glasfasersteckdose (OTO) und Ihren Elektronikgeräten wie TV, Telefon und Computer. Die Verbindung der Geräte innerhalb der Wohnung geht zu Lasten des Mieters. Der Anschluss der einzelnen Geräte kann sowohl mit Kabel (Ethernet, RJ45) als auch kabellos (wireless) erfolgen.",FAQ (Q&A),Glasfaser
,Gibt es spezifische Qualitätsmerkmale für Geschäftskundendienstleistungen? Entsprechend Ihren Wünschen und Bedürfnissen können Geschäftskunden-Dienstleistungen mit garantierter Verfügbarkeit gemäss Service Level Agreement und mit bis zu 7x24h Kundensupport bestellt werden. Die Konditionen richten sich nach den genutzten Diensten und werden von den Anbietern bestimmt.,FAQ (Q&A),Glasfaser
,"Welche Angebote können über das Glasfasernetz genutzt werden? Sowohl Privat- als auch Geschäftskunden können aus einem breiten Portfolio von Angeboten auswählen. Für Konsumenten werden Services wie HDTV, ultraschnelles Internet, digitale Telefonie (VoIP), Video on Demand, E-Learning oder Online-Spiele angeboten. Zu  den Geschäftskunden orientierten Angeboten gehören symmetrische Internetverbindungen, Remote-Zugriff auf Firmennetzwerke, Videofernüberwachung, Videokonferenz und E–Working. Eine Übersicht der Anbieter mit einem Link zu den aktuellen Angeboten finden Sie  unter der Rubrik Privat- und/oder Geschäftskunden.",FAQ (Q&A),Glasfaser
,Wieso macht die (rasche) Vertragsunterschrift nach Erhalt Sinn? Energie Wasser Bern muss sich für die Erschliessung an die Vorgaben und Auflagen der Stadt Bern halten. Im öffentlichen Raum darf nur koordiniert mit vorgängiger Baueingabe gebaut und gegraben werden. Nach Abschluss der Arbeiten darf an gleicher Stelle erst in 5 Jahren wieder gebaut werden! Ausnahmen sind nur in Notfällen erlaubt. Die nachträgliche Erschliessung einzelner Liegenschaften kann so erst viel später und ohne Priorität erfolgen. Die Erschliessungskosten fallen höher aus und gehen zulasten des Eigentümers der Liegenschaft.,FAQ (Q&A),Glasfaser
,"Wie lange dauert die Erschliessung in der Stadt Bern? Bis 2022 wird die gesamte Stadt Bern an das Glasfasernetz angeschlossen. Die Erschliessung erfolgt nicht nach Quartieren, sondern zellenförmig, in sogenannten Mikrozellen. Die Aufteilung und Reihenfolge der Realisierung dieser Gebiete legt Energie Wasser Bern nach technischen, logistischen und wirtschaftlichen Kriterien fest. Wir achten darauf, Synergien im Leitungsbau mit anderen Medien zu nutzen. Weiter müssen auch die städtischen Bauvorgaben und Rahmenbedingungen vom Tiefbauamt berücksichtigt werden.",FAQ (Q&A),Glasfaser
,Wann wird meine Wohnung an das Glasfasernetz angeschlossen? Die Voraussetzung für die Erschliessung Ihrer Wohnung ist die Realisierung der Grundinfrastruktur in der Mikrozelle. Der Anschluss Ihrer Liegenschaft erfolgt in Absprache mit dem Eigentümer oder der Gebäudeverwaltung. Für die Erschliessung der Wohnung und die Installation der Glasfasersteckdose erhalten Sie vorgängig eine Terminanfrage des beauftragten Elektroinstallateurs. Sie können hier den geplanten Realisierungszeitpunkt für Ihr Gebäude abfragen.,FAQ (Q&A),Glasfaser
,"Welche Vorteile haben Liegenschafts- und Stockwerkeigentümer? Ein Anschluss an das Glasfasernetz ist kostenlos und steigert den Wert der Liegenschaft mit einer topmodernen Multimedia-Infrastruktur. Die Wohnungen und Geschäftsräume sind attraktiver und lassen sich dadurch besser vermieten. Zudem können die administrativen Aufwände gesenkt werden, da die Mieter die Verträge direkt mit den Dienstanbietern abschliessen.",FAQ (Q&A),Glasfaser
,"Wie hoch sind die Kosten für die Erschliessung? Die Erschliessung ist für den Eigentümer kostenlos. Sobald eine Servicebestellung vorliegt, werden die Glasfasern ebenfalls ohne Kostenfolge bis in die einzelnen Wohnungen und Geschäftsräume verlegt. Voraussetzung: Die vorhandene Verrohrung kann genutzt werden. Die Multimedia-Verkabelung innerhalb der Wohnung und der Geschäftsräume ist Sache der Mieter oder der Eigentümer.",FAQ (Q&A),Glasfaser
,"Benötigt das Glasfaserkabel zusätzlich Strom? Das Endkunden-Anschlussgerät (CPE) verbraucht eine geringe Menge an Strom. Wir evaluieren energieeffiziente Modelle, die mehrere Schnittstellen bieten. So ist gewährleistet, dass der Nutzer verschiedene Service Provider wählen kann. Energie sparen kann der Nutzer wie bisher durch das Ausschalten des Stand-by Betriebs der Endgeräte (TV, TV-Anschlussgerät, PC, Drucker usw.). Damit das Telefon in Betrieb ist, sollte das Endkunden-Anschlussgerät allerdings im Dauerbetrieb laufen.",FAQ (Q&A),Glasfaser
,Wo erhalte ich weitere Informationen zum Berner Glasfasernetz? Mehr Informationen zum Glasfasernetz erhalten Sie unter der Telefonnummer 0848 392 392 oder per Email: telecom@ewb.ch,FAQ (Q&A),Glasfaser
