,Glasfaser,Mobilitat,Umzug,Netz,Storungen,Internet,Wasser,Strom,Diverses,Kehricht,Warme
0,glasfasernetz,chf,umzug,ewb,klären,router,wasser,ökostrom,kunden,kehricht,erdgas
1,erschliessung,erdgas,melden,strom,bitte,ewbtv,schweiz,strom,smart,tonne,biogas
2,wohnung,erdgasfahrzeuge,bringt,kosten,tel,geräte,trinkwasser,stromprodukt,zähler,pro,beim
3,service,gibt,meist,kunden,ausgefallen,ewbinternet,liter,kunden,strom,strom,bern
4,bern,ebikes,bürokratischen,warum,ab,kontrollieren,rund,produziert,meter,ab,etwa
5,eigentümer,fahrzeuge,erledigungen,müssen,handelt,nutzen,bern,mehr,teil,müssen,pro
6,anschluss,akku,onlineformulare,netzanschluss,nachbarn,kundendienst,mineralwässer,kundinnen,jahresrechnung,deponiert,jahr
7,angeschlossen,schweiz,erleichtern,schweiz,störung,fritzbox,prozent,bestellen,kunde,kwh,preise
8,angebote,ja,abmeldung,trägt,rufen,internet,hahnenwasser,anteil,kundinnen,holz,beziehen
9,geschäftskunden,km,möchte,swissgrid,031,11,qualität,hergestellt,hydrospeicher,erzeugt,kunden
10,angeboten,servicestelle,neue,schweizer,321,gerät,natürlichen,wählen,erhalten,1,mehr
11,finden,zone,namenswechsel,netznutzung,31,bitte,quellen,stromverbrauch,energieversorger,kehrichtmenge,ca
12,liegenschaft,pro,wechsel,neuen,11,fall,mensch,energie,neu,zugenommen,kommt
13,erhalten,laden,rechnungsadresse,saniert,geplante,sowie,besteht,naturemade,ab,letzten,energie
14,vertrag,gegenüber,anschrift,ausland,beziehen,email,kommt,star,mehr,50,anteil
15,endkundenanschlussgerät,kunden,mutieren,kundinnen,wahrscheinlich,finden,40,wohnung,zevvertreter,gebührenmarken,leistung
16,genutzt,fahrzeug,adresse,bern,strom,wlan,zudem,anlagen,bezahlt,wurde,prozent
17,internet,treibstoff,wohnung,netz,teilen,geschwindigkeit,wenig,mieter,rechnung,stadt,zudem
18,müssen,ladepunkte,rechnungsasdresse,nein,erst,einfach,wasserhärte,produkte,erfolgt,bern,schweiz
19,wohnungen,nein,einzug,kunde,betriebliche,031,natürliches,kontrollaudit,zev,kehrichtverwertungsanlage,erdgasnetz
