,Kehricht,Wasser,Mobilitat,Strom,Internet,Diverses,Netz,Warme,Glasfaser,Storungen,Umzug
0,kehricht,wasser,chf,ökostrom,router,wasser,ewb,erdgas,bern,klären,umzug
1,tonne,schweiz,erdgas,strom,ewbtv,energie,strom,biogas,energie,bitte,melden
2,pro,trinkwasser,erdgasfahrzeuge,energie,geräte,bern,kosten,bern,wasser,tel,bringt
3,strom,liter,gibt,stromprodukt,ewbinternet,kunden,bern,energie,glasfasernetz,ausgefallen,meist
4,ab,rund,ebikes,wasser,kontrollieren,smart,energie,wasser,erschliessung,ab,bürokratischen
5,müssen,bern,fahrzeuge,kunden,nutzen,zähler,kunden,beim,wohnung,handelt,erledigungen
6,deponiert,mineralwässer,akku,produziert,kundendienst,strom,warum,etwa,service,nachbarn,onlineformulare
7,kwh,prozent,schweiz,mehr,fritzbox,meter,müssen,pro,eigentümer,bern,erleichtern
8,holz,hahnenwasser,ja,kundinnen,internet,teil,netzanschluss,jahr,anschluss,störung,abmeldung
9,erzeugt,qualität,km,bern,11,jahresrechnung,wasser,preise,angeschlossen,rufen,möchte
